,run,average accuracy,average precision,averag recall,average F1
0,0.0,0.8633333333333333,0.925,0.85,0.8590476190476191
0,1.0,0.93,0.95,0.9333333333333332,0.9214285714285715
0,2.0,0.89,0.9083333333333332,0.9,0.8923809523809524
0,3.0,0.9066666666666668,0.9083333333333334,0.9166666666666666,0.8923809523809524
0,4.0,0.9433333333333334,0.9416666666666667,0.9666666666666668,0.9457142857142857
0,5.0,0.9266666666666667,0.9166666666666666,0.9666666666666666,0.9314285714285713
0,6.0,0.9033333333333333,0.9083333333333334,0.9333333333333332,0.9123809523809523
0,7.0,0.9033333333333333,0.9166666666666666,0.8666666666666666,0.8766666666666667
0,8.0,0.9066666666666666,0.9416666666666667,0.8833333333333334,0.8823809523809523
0,9.0,0.9133333333333334,0.925,0.9166666666666666,0.9095238095238095
